"Author","Date","Text","Class"
"MFkin PRXPHETZ","2014-01-20T09:08:39","if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz?","spam"
"Dave X","2014-01-20T10:12:07","....subscribe......  ......to my........  .....channel.......?","spam"
"crestpee","2014-01-20T13:03:12","now its 1,884,034,783 views! pls. comment the view count the next hour :P?","ham"
"Leonardo Baptista","2014-01-20T15:10:27","http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ?","spam"
"Phuc Ly","2014-01-20T15:27:47","go here to check the views :3?","ham"
"Milan George","2014-01-20T16:15:09","thumbs up if u checked this video to see hw views it got?","ham"
"Kirsty Brown","2014-01-20T16:41:27","Plz subscribe to my channel and I will subscribe back xx?","spam"
"Kochos","2014-01-20T17:08:37","i check back often to help reach 2x10^9 views and I avoid watching Baby?","ham"
"eSkiip","2014-01-20T17:22:53","This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.?","ham"
"Wumrogue lite","2014-01-20T17:29:52","https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!?","spam"
"Artsi","2014-01-20T18:52:12","Pls follow this channel!! http://www.twitch.tv/sevadus?","spam"
"ProsGamerOnly","2014-01-20T20:00:55","hi guys check my youtube channel?","spam"
"JP Jochem","2014-01-20T20:23:35","Subscribe and like to me for more how to videos on minecraft!?","spam"
"BaconBro HD","2014-01-20T21:11:52","Subscribe ME!?","spam"
"Eanna Cusack","2014-01-20T22:20:59","Im just to check how much views it has?","ham"
"fastestghost","2014-01-21T02:09:22","The first comment is chuck norrus ovbiously :D?","ham"
"StuntmanGaming","2014-01-21T02:29:43","Behold the most viewed youtube video in the history of ever?","ham"
"Master Chief","2014-01-21T03:16:46","when is this gonna hit 2 billion??","ham"
"David Bell","2014-01-21T03:18:31","the most viewed youtube video of all time??","ham"
"virgie natividad","2014-01-21T07:33:30","969,210 dislikes like dislike themselves?","ham"
"asd ad","2014-01-21T08:22:06","psy=korean?","ham"
"Dymetex","2014-01-21T09:03:36","OMG this oldspice spraytan party commercial omg....i'm sitting here NO  this isn't a real thing is it? OMG ?","ham"
"MrTuizentfloot","2014-01-21T13:39:13","This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.?","ham"
"OREOGAM3R","2014-01-25T19:36:25","It's been back for quite a while now.","ham"
"LEONARDO CAETANO","2014-01-27T19:36:00","2 Billions in 2014","ham"
"fab life","2014-11-02T00:48:57","plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!?","spam"
"Oh 1080s","2014-11-02T01:08:10","Sub my channel!?","spam"
"Ariel Baptista","2014-11-02T05:06:46","http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ?","spam"
"Stefano Albanese","2014-11-02T12:04:36","http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ?","spam"
"Salim Tayara","2014-11-02T14:33:30","if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.?","spam"
"Lucky D.","2014-11-02T14:53:06","http://hackfbaccountlive.com/?ref=4604617?","spam"
"Lucas Trigo","2014-11-02T15:52:22","WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ?","spam"
"TheHariiiii","2014-11-02T16:17:11","-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------?","spam"
"Angel","2014-11-02T17:27:09","Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !?","spam"
"Squir3","2014-11-02T18:34:03","http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!?","spam"
"Kaya Roberts","2014-11-02T20:00:37","Admit it you just came here to check the number of viewers ?","ham"
"Prim N.","2014-11-02T22:48:21","Just coming to check if people are still viewing this video. And  apparently, they still do.?","ham"
"James Ridge","2014-11-02T23:25:44","Check my first video out?","spam"
"Minecraft-Viasat","2014-11-03T14:38:53","Check my channel?","spam"
"Alessio Siri","2014-11-03T16:43:36","PSY - GANGNAM STYLE (?????) M/V: http://youtu.be/9bZkp7q19f0?","ham"
"Backup Plus","2014-11-03T17:39:07","Suscribe My Channel Please XD lol?","spam"
"Almighty Toffeebomb","2014-11-03T19:09:40","Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)?","ham"
"NstyIC Gold","2014-11-03T20:41:23","Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.?","ham"
"Никита Безухов","2014-11-03T21:38:17","https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project?","spam"
"Михаил Панкратов","2014-11-03T22:22:14","There is one video on my channel about my brother...?","spam"
"Angek95","2014-11-03T22:28:56","Check my channel, please!?","spam"
"Arianna Leighton","2014-11-03T23:02:47","Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD?","spam"
"richardex8","2014-11-03T23:03:03","Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:?","ham"
"Олег Пась","2014-11-03T23:29:00","Plizz withing my channel ?","spam"
"Crooked Gaming","2014-11-04T00:00:57","I made a gaming channel (Unique right?) :L Angry Minecraft!?","spam"
"Monwar Sarkar","2014-11-04T00:18:07","Please help me go here http://www.gofundme.com/littlebrother?","spam"
"Jack ToadROXMK","2014-11-04T02:00:14","Anybody who subscribes to me will get 10 subscribers?","spam"
"roflcopter2110","2014-11-04T02:22:06","http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection?","spam"
"Imprezzi Vidzz","2014-11-04T03:12:23","My videos are half way decent, check them out if you want.?","spam"
"khir abqari","2014-11-04T07:37:28","they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ?","ham"
"Gloria Garcia","2014-11-04T11:38:51","subscribe to itz recaps and above diddle?","spam"
"xSparkShark","2014-11-04T12:40:15","Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should??","ham"
"Emerson Zanol Zanol","2014-11-04T13:48:04","need money?Enjoy https://www.tsu.co/emerson_zanol?","spam"
"Lars Zaadstra","2014-11-04T13:54:25","Sub to my channel visuelgamingzNL I sub back?","spam"
"firo mota","2014-11-04T14:38:42","please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE?","spam"
"Connor Groom","2014-11-04T18:00:07","sub me if you dont like the song?","spam"
"Kaiser Dragon","2014-11-04T18:09:18","This is a weird video.?","ham"
"Monster Sifou","2014-11-04T18:30:39","8 million likes xD even the subscribers not 8 million xD?","ham"
"TIGERIO_","2014-11-04T19:46:38","EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!?","spam"
"OFFICIAL LEXIS","2014-11-04T20:22:21","Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;?","spam"
"trespasser4000","2014-11-04T22:07:22","This song never gets old love it.?","ham"
"Pat M","2014-11-05T00:21:29","gofundme.com/grwmps?","spam"
"Malin Linford","2014-11-05T01:13:43","Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post?","spam"
"Gaming Land","2014-11-05T07:48:10","5 milions comentars and 2 bilion views?","ham"
"tom hawksbee","2014-11-05T07:49:21","It is 0 zero?","ham"
"Norman Reid","2014-11-05T08:12:06","Mix - PSY - GANGNAM STYLE (?????) M/V: PSY - GANGNAM STYLE (?????) M/V?","ham"
"Emily Hamilton","2014-11-05T08:42:06","This has had over 2 billion views.  Holy shit.?","ham"
"rolle54100","2014-11-05T10:43:27","how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)?","ham"
"MrBrunoExtreme","2014-11-05T15:10:43","Suscribe my channel please?","spam"
"xMasterGGx","2014-11-05T15:25:34","2,124923004 wiews... wow?","ham"
"pro stomper","2014-11-05T15:27:34","guys please subscribe me to help my channel grow please guys?","spam"
"Abdinasir Omar","2014-11-05T15:28:28","Great music anyway?","ham"
"Aleksaivan Neidert","2014-11-05T15:35:49","PSY - GANGNAM STYLE (?????) M/V: http://youtu.be/9bZkp7q19f0?","ham"
"Luat ha hpuoc","2014-11-05T15:38:10","so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia?","ham"
"abdellah chafouai","2014-11-05T16:12:51","Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g?","spam"
"Brotha B","2014-11-05T16:18:58","Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315?","spam"
"Amir effect","2014-11-05T17:18:14","Can somebody wake me up when we get to 3 billion views.?","ham"
"lakis constantinou","2014-11-05T18:02:31","PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D?","ham"
"just a filthy kafir","2014-11-05T18:05:17","Justin bieber = gay ?","ham"
"M7AMDksa","2014-11-05T19:51:38","?? ?? ?? ?? ?????????","ham"
"Noah Fran?ois","2014-11-05T20:15:09","Ahhh, 2 years ago....?","ham"
"Neely Nesley","2014-11-05T20:19:26","Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles?","spam"
"BmwManDexter","2014-11-05T20:33:15","check out starlitnightsky channel to see epic videos?","spam"
"KodysMan Dunt Know","2014-11-05T21:10:09","https://www.tsu.co/KodysMan plz ^^?","spam"
"nachopinca3901","2014-11-05T21:14:36","Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions?","ham"
"Mehmet Demirel","2014-11-05T21:25:27","http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107?","spam"
"PacKmaN","2014-11-05T21:56:39","check men out i put allot of effort into my music but unfortunatly not many  watch it?","spam"
"Alessandro leite","2014-11-05T22:21:36","pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al?","spam"
"TLouX music","2014-11-05T22:41:42","Add me here...https://www.facebook.com/TLouXmusic?","spam"
"Tyrek Sings","2014-11-05T22:50:02","CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS?","spam"
"NursePoison","2014-11-06T01:12:14","I think this is now a place to promote channels in the comment section lol.?","ham"
"Peter Johnson","2014-11-06T01:44:12","Get free gift cards and pay pal money!?","spam"
"MiningBip3","2014-11-06T02:22:00","Check out pivot animations in my channel?","spam"
"Ju`Wan Wright","2014-11-06T02:39:07","Follow me on twitter &amp; IG : __killuminati94?","spam"
"CronicleFPS","2014-11-06T03:10:26","Check me out I'm all about gaming ?","spam"
"marye","2014-11-06T04:42:33","Oppa! Yeah! Best Song!?","ham"
"Giang Nguyen","2014-11-06T04:54:22","More... http://www.sunfrogshirts.com/Sunglass-World.html?24398?","spam"
"Giang Nguyen","2014-11-06T04:55:41","https://www.facebook.com/teeLaLaLa?","spam"
"MasterRobotTV","2014-11-06T05:40:43","http://www.twitch.tv/zxlightsoutxz?","spam"
"ROB YSF","2014-11-06T09:15:12","reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes?","spam"
"Rancy Gaming","2014-11-06T09:41:07","What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194?","spam"
"FatPocketsTv","2014-11-06T09:49:14","Search Chubbz Dinero - Ready Or Not  Thanks ?","spam"
"Holly","2014-11-06T13:41:30","Follow me on Twitter @mscalifornia95?","spam"
"unknown","2014-11-06T14:50:18","?????????????????????????????????????????????????????????  every single types of face on earth?","ham"
"thevlogmasters Vlog, Challenges en nog veel meer!","2014-11-06T15:28:54","??????????????????????? ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ????????????????????????","ham"
"Freddie Barton","2014-11-06T15:31:35","CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!?","spam"
"Sean Ortiz","2014-11-06T16:48:02","Incmedia.org where the truth meets you.?","spam"
"ZodexHD","2014-11-06T17:50:59","look at my channel i make minecraft pe lets play ?","spam"
"Andr3wco7","2014-11-06T17:59:30","I found out this song now?","ham"
"michelle clough","2014-11-06T18:00:04","2 BILLION!!!?","ham"
"lebanonwarior1","2014-11-06T18:07:21","Song name???","ham"
"amine moha","2014-11-06T18:11:37","please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood?","spam"
"PacKmaN","2014-11-06T18:23:21","hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like?","spam"
"fad lad","2014-11-06T18:24:19","http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ?","spam"
"Digital Media Butterfly","2014-11-06T18:55:14","The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (?????) M/V?","ham"
"JackTheLad","2014-11-06T19:00:11","Subscribe to me and I'll subscribe back!!!?","spam"
"JoelR Ch","2014-11-06T19:28:25","http://flipagram.com/f/LUkA1QMrhF?","spam"
"OverSpace33","2014-11-06T19:40:59","For Christmas Song visit my channel! ;)?","spam"
"Detroit Red Wings","2014-11-06T20:55:09","http://www.gofundme.com/gvr7xg?","spam"
"DirtySouthFlorida3","2014-11-06T22:00:58","Subscribe to me i subscribe back!!!! Plus i have a nice ass lol?","spam"
"David Bo?ek","2014-11-06T22:40:49","https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ?","spam"
"Jackal James","2014-11-06T22:53:08","https://soundcloud.com/jackal-and-james/wrap-up-the-night?","spam"
"Goran Theboss","2014-11-06T23:16:52","https://www.surveymonkey.com/s/CVHMKLT?","spam"
"YoungBrothersRecords","2014-11-06T23:22:32","Please give us a chance and check out the new music video on our channel!  You won't be disappointed.?","spam"
"Chinsoman Films","2014-11-07T01:22:02","Please subscribe to me?","spam"
"Moymoy Palaboy","2014-11-07T01:24:27","This is the best, funny and viral video of history (youtube) THE TRUE?","ham"
"Mason Sieverding","2014-11-07T01:50:10","Please check out my vidios?","spam"
"VIP 2NEXO","2014-11-07T02:02:02","OPPA GANGNAM STYLE!!!?","ham"
"Gaming 101","2014-11-07T04:13:47","The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!?","ham"
"Chack Jason","2014-11-07T04:39:08","OPPA &lt;3?","ham"
"Kitts Hausman","2014-11-07T04:48:01","It's so funny it's awesomeness lol aaaaaaa sexy lada??","ham"
"TheInfectedDoge Gameplay","2014-11-07T05:04:28","most viewed video in the world?","ham"
"Warrdrew","2014-11-07T07:46:57","I'm here to check the views.. holy shit?","ham"
"Parssa Alimadad","2014-11-07T07:54:13","Dear person reading this, You are beautiful and loving Have a great day?","ham"
"Adrian Skalak","2014-11-07T08:19:37","http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN?","spam"
"BeatBoxBaaa","2014-11-07T09:04:08","Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE?","spam"
"Cool Ong","2014-11-07T09:55:39","The Guy in the yellow suit kinda looks like Jae-suk ?","ham"
"Uro? Slemenjak","2014-11-07T12:08:13","People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)?","spam"
"Adam Mudd","2014-11-07T12:16:08","How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111?","ham"
"Cromwell John Pascual","2014-11-07T12:51:06","WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!?","ham"
"Starfire003","2014-11-07T12:58:57","OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this?","ham"
"Lindsay Wofford","2014-11-07T13:12:45","What is he saying?!?!?!?!?!?!?!?$? ?","ham"
"Romeo Sweeney","2014-11-07T13:33:12","this has so many views?","ham"
"Thanh Phong","2014-11-07T13:48:31","OMG over 2 billion views!?","ham"
"Callum Barr","2014-11-07T13:49:41","Subscribe to me plz plz plz plz plz plZ ?","spam"
"funtimekid1199","2014-11-07T14:11:41","http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market?","spam"
"css403","2014-11-07T14:25:48","i am 2,126,492,636 viewer :D?","ham"
"Dovydas Baranauskas","2014-11-07T14:29:19","https://www.tsu.co/Aseris get money here !?","spam"
"???","2014-11-07T15:14:48","Fantastic!?","ham"
"sagar basnet","2014-11-07T15:31:25","The population of world is more than 7 billion?","ham"
"Vitor Belliny","2014-11-07T15:43:29","2.126.521.750  views!!!!!!!!!!!!!!!!!?","ham"
"Gianpaolo T","2014-11-07T15:58:09","Wow 23 min ago?","ham"
"josson 64","2014-11-07T15:58:57","SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?","ham"
"Isuzu","2014-11-07T16:38:47","P E A C E  &amp;  L O V E  ! !?","ham"
"jayson calzado","2014-11-07T17:03:01","How can this music video get 2 billion views while im the only one watching  here on earth?????? lol?","ham"
"O sábio das 7 eras","2014-11-07T17:06:48","Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba??","spam"
"Pro Video","2014-11-07T17:53:51","subscribe to me :) ?","spam"
"Vepi road to TIx","2014-11-07T17:54:36","Still the best. :D?","ham"
"Bert Dionne","2014-11-07T18:05:40","The most liked video on YouTube...?","ham"
"no honesty","2014-11-07T18:11:06","Still watching this 2 years later? ?","ham"
"LaunchPad Mad","2014-11-07T18:11:56","Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-?","spam"
"Aj Riberal","2014-11-07T18:52:29","Lol...I dunno how this joke gets a lot of likes, but whatever. xD?","ham"
"SRK FAN","2014-11-07T19:18:25","2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~?","ham"
"Ben Stalker","2014-11-07T19:27:45","GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*?","ham"
"xxxTheMikeTxxx","2014-11-07T19:33:03","Will this song ever reach 7 Billion Views??","ham"
"Kemal Kurtoglu","2014-11-07T19:33:46","Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.?","spam"
"ahmed khalifa","2014-11-07T19:45:26","Hello all 29.24% earth population of the world, hope your having a great  day :)?","ham"
"Adele Lupei","2014-11-07T19:47:06","Is this the video that started the whole got my dick stuck in an elevator  excuse thing? ?","ham"
"Daniel Istrati","2014-11-07T19:47:16","Can anyone sub to my channel? :D?","spam"
"Stronzo Chicheritr","2014-11-07T20:01:15","prehistoric song..has been?","ham"
"none dies virgin life fucks us all","2014-11-07T20:05:35","You think you're smart?        Headbutt your face.?","ham"
"JakeFrostMiner Palanca","2014-11-07T20:12:11","DISLIKE.. Now one knows REAL music - ex. Enimen ?","ham"
"Tee Tee","2014-11-07T20:16:51","Loool nice song funny how no one understands (me) and we love it?","ham"
"Oopsthenameistoolong Oh well","2014-11-07T20:18:19","Like if you came here too see how many views this song has.?","ham"
"witsnow roxiie","2014-11-07T20:45:32","We pray for you Little Psy ??","ham"
"johan gade","2014-11-07T21:06:36","''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3?","ham"
"2666playboy","2014-11-07T21:39:21"," Follow me on Instagram. _chris_cz  ?","spam"
"Melissa Harmon","2014-11-07T22:01:04","how is this shit still relevant ?","ham"
"Eddie Murphy","2014-11-07T22:19:03","LOL this shit never gets old?","ham"
"Alucard Hellsing","2014-11-07T22:21:29","What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )?","ham"
"John Plaatt","2014-11-07T22:22:29","On 0:02 u can see the camera man on his glasses....?","ham"
"YOU ARE NOW WASTING SECONDS OF YOUR LIFE BY READING THIS LONG STUPID NAME WHICH MAKES NO SENSE!","2014-11-07T22:41:04","this comment is wrong?","ham"
"juanmanuel cespedes","2014-11-07T22:59:13","i hate this music. fucking singer and every koean chainise ana US sucks me dick.?","ham"
"Kirill Nazarethian","2014-11-07T22:59:37","2:05. Hahahahah ?","ham"
